base name:
rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/traces/rename.7482608532762354548

10129 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_create_resource_step
controller_examples/rabbitmq_controller/proof/liveness/resource_match.rs:506

traced instantiations:
QID                                                                                    T    P0    P1    P2
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Volu...       663     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       663     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       659    15    12    15
internal_rabbitmq_controller__kubernetes_cluster__spec__message__RestIdAllo...       641     0     0     0
prelude_fuel_defaults                                                                633   191   194   190
internal_vstd!map.impl&__0.dom.?_pre_post_definition                                 631     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__ObjectR...       623    28    28    26
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       616    16    14    16
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Get...       615    20    19    19
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       608    14    11    14
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__API...       605     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       596     0     0     0
internal_rabbitmq_controller__state_machine__action__ActionResult_unbox_axi...       588     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.RestIdAllocato...       587     0     0     0
prelude_unbox_box_int                                                                582     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       559     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...       554     0     1     1
internal_vstd__set__Set<rabbitmq_controller!kubernetes_api_objects.spec.com...       545     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       540     7     6     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       539     0     0     0
mariposa_qid_113                                                                     536    10    10     7
internal_vstd__set__Set<rabbitmq_controller!kubernetes_api_objects.spec.com...       526     0     0     0
internal_crate__fun__1_box_axiom_definition                                          525    28    28    28
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled/0_i...       517     1     1     1
internal_rabbitmq_controller!state_machine.action.impl&__0.forward.?_defini...       515    18    18    17
internal_rabbitmq_controller!state_machine.action.impl&__0.forward.?_pre_po...       515     0     0     0
mariposa_qid_199                                                                     513    19    18    17
user_vstd__multiset__axiom_multiset_singleton_18                                     502     3     2     2
internal_vstd!multiset.impl&__0.singleton.?_pre_post_definition                      502     7     6     7
internal_vstd__map__Map<rabbitmq_controller!kubernetes_api_objects.spec.com...       493     3     3     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.GetRequ...       490     1     1     1
mariposa_qid_232                                                                     475
- [root]                                                                              37     2     2     2
- user_rabbitmq_controller__kubernetes_cluster__spec__cluster__Cluster__every...     300     2     2     3
- user_rabbitmq_controller__kubernetes_cluster__spec__cluster__Cluster__every...     138     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       472    14    11    14
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__VolumeV...       468     0     0     0
mariposa_qid_72                                                                      468     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.own...       466     3     3     3
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       462     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       456     6     5     7
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...       452     1     1     1
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       451     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__VolumeV...       449     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       449     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.DynamicObj...       445     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__error__APIError_box_a...       445     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       443     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       443     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__ObjectR...       442     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       433     0     0     0
internal_vstd__map__Map<rabbitmq_controller!kubernetes_api_objects.spec.com...       432     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       431     0     0     0
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled_con...       427     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       427     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       424     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       422     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       421     2     1     2
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       412     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__error__APIError_has_t...       409     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Ongoi...       404     4     3     3
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       403     3     2     3
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       401     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       400     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__api_server__types__...       400    13    13    13
internal_rabbitmq_controller__kubernetes_cluster__spec__builtin_controllers...       395     0     1     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...       395     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       390     3     2     4
internal_rabbitmq_controller__kubernetes_cluster__spec__message__MessageCon...       390    10     8     7
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...       388     5     5     5
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...       385     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Ongoi...       385     5     4     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       384     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       384     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__error__APIError_unbox...       383     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...       378     1     2     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       373     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       373     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       373     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       373     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       373     4     3     4
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       373     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...       371     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       370     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       370     0     0     0
prelude_unbox_int                                                                    368     0     0     0
prelude_has_type_nat                                                                 368     0     0     0
prelude_box_unbox_nat                                                                368     0     0     0
internal_vstd__set__Set<rabbitmq_controller!kubernetes_api_objects.spec.com...       366     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.RestIdAllocato...       364     0     0     0
internal_rabbitmq_controller!state_machine.action.ActionResult./Enabled/0_a...       362    12    14    14
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       357     0     0     0
internal_rabbitmq_controller!reconciler.spec.resource_builder.ResourceBuild...       357     0     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       356     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...       356     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       355     8     6     8
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...       339     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.MessageContent...       338     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       326     1     1     1
