base name:
rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/traces/rename.7482608532762354548

10129 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_create_resource_step
controller_examples/rabbitmq_controller/proof/liveness/resource_match.rs:506

traced instantiations:
QID                                                                                    T    P0    P1    P2
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.APIResp...        35     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        35     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.CreateR...        35     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...        35     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.APIResp...        35     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Cre...        35     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.APIResp...        35     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.DownwardAPI...        34     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...        34     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        34     0     0     0
mariposa_qid_147                                                                      34     2     2     2
mariposa_qid_184                                                                      34     1     1     1
mariposa_qid_130                                                                      34     1     1     1
internal_vstd!seq_lib.impl&__0.to_set.?_definition                                    33     0     0     0
internal_vstd!seq_lib.impl&__0.to_set.?_pre_post_definition                           33     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        33     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.UpdateR...        33     0     0     0
mariposa_qid_212                                                                      33     2     2     2
internal_vstd!set.impl&__0.new.?_pre_post_definition                                  33     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Upd...        33     0     0     0
mariposa_qid_161                                                                      33     1     1     1
internal_rabbitmq_controller!rabbitmq_controller.model.resource.default_use...        33     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.default_use...        33     2     2     2
mariposa_qid_145                                                                      33     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...        33     1     2     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.impl&...        32     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...        32     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.stateful_se...        32     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__owner_reference...        32     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__S...        32     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Step...        32     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.common.make...        32     2     2     2
internal_tuple__3./tuple__3/0_accessor_definition                                     32     2     2     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.impl&...        32     1     1     1
mariposa_qid_220                                                                      32     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod_template_spec....        32     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.stateful_se...        32     0     0     0
internal_crate__tuple__3_box_axiom_definition                                         32     2     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...        32     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod_template_spec....        32     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.common.make...        32     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.common.make...        32     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleB...        31     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.step.RabbitmqRecon...        31     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.impl&__0.s...        31     3     3     3
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...        31     8     7    10
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        31     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        31     0     0     0
mariposa_qid_165                                                                      31     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.default_use...        31     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.UpdateR...        31     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.impl&__...        31     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.impl&__0.s...        31     1     1     1
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.impl&__...        31     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.default_use...        31     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.CreateR...        31     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__0.s...        30     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        30     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.impl&__0.o...        30     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__3.s...        30     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__3.s...        30     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__0.s...        30     3     3     3
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...        30     7     5    11
internal_rabbitmq_controller!kubernetes_api_objects.spec.dynamic.impl&__0.o...        30     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__3.s...        30     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__3.s...        30     0     0     0
mariposa_qid_205                                                                      30     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__0.s...        30     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__0.s...        30     4     5     4
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__4.is_cr...        30     3     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        29     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.impl&...        29     1     1     1
internal_rabbitmq_controller!rabbitmq_controller.model.resource.rabbitmq_pl...        29     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.rabbitmq_pl...        29     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.ClientAct...        29     0     0     0
mariposa_qid_207                                                                      29     1     2     2
mariposa_qid_211                                                                      29     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.stateful_set.impl&...        29     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...        28     0     0     0
internal_rabbitmq_controller!temporal_logic.defs.TempPred./TempPred/pred_ac...        28    17    17    17
internal_rabbitmq_controller!rabbitmq_controller.model.resource.rabbitmq_pl...        28     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__2.s...        28     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...        28     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        28     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...        28     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Del...        28     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleB...        28     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__Life...        28     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__2.s...        28     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.ClientAct...        28     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__Kind_un...        28     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.rabbitmq_pl...        28     0     0     0
mariposa_qid_180                                                                      28     1     1     1
internal_rabbitmq_controller!temporal_logic.defs.impl&__1.satisfied_by.?_de...        28    18    18    18
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__2.s...        28     2     3     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Lifecycl...        28     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__2.s...        28     2     2     2
mariposa_qid_166                                                                      27     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Del...        27     0     0     0
mariposa_qid_156                                                                      27     1     2     1
mariposa_qid_143                                                                      27     2     1     1
internal_rabbitmq_controller!rabbitmq_controller.proof.resource.make.?_defi...        27     0     2     0
internal_vstd!set.impl&__0.remove.?_pre_post_definition                               27     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.headless_se...        27     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__api_server__types__...        27     1     1     1
internal_rabbitmq_controller!rabbitmq_controller.proof.resource.make.?_pre_...        27     0     0     0
mariposa_qid_151                                                                      27     1     1     1
internal_rabbitmq_controller!rabbitmq_controller.model.resource.headless_se...        27     2     2     2
user_vstd__set__axiom_set_remove_insert_70                                            27     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...        27     3     3     3
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        26     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.Step./Upd...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod_template_spec....        26     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__EnvV...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        26     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.Step./Del...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        26     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.ClientAct...        26     0     0     0
mariposa_qid_128                                                                      26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod_template_spec....        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.label_selector.imp...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.label_selector.imp...        26     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.Step./Upd...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod_template_spec....        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role.PolicyRuleVie...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleB...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        26     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Step...        26     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__S...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        26     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Ongoi...        26     6     6     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.label_selector.imp...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.rabbitmq_pl...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.label_selector.imp...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource_requireme...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        26     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.Step./Cre...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.stateful_se...        26     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.Step./Cre...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource_requireme...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.persistent_volume_...        26     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...        26     0     0     0
internal_rabbitmq_controller__rabbitmq_controller__trusted__spec_types__Rab...        26     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role__PolicyRul...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod_template_spec....        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.rabbitmq_pl...        26     2     2     2
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource_requireme...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.Subje...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource_requireme...        26     0     0     0
user_vstd__map__axiom_map_remove_different_8                                          26     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.Step./Del...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource_requireme...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource_requireme...        26     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.EnvVarVi...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.stateful_se...        26     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.role.make_r...        25     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.role.make_r...        25     2     2     2
internal_rabbitmq_controller__kubernetes_api_objects__spec__api_method__Get...        25     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.erlang_cook...        25     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.impl&__...        25     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.impl&__...        25     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.impl&__...        25     1     1     1
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Clie...        25     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.config_map.impl&__...        25     1     1     1
internal_rabbitmq_controller!rabbitmq_controller.model.resource.erlang_cook...        25     2     1     2
internal_rabbitmq_controller!temporal_logic.defs.lift_state.?_definition              25     7     7     7
internal_req__rabbitmq_controller!kubernetes_cluster.proof.controller_runti...        24
- [root]                                                                              24     1     1     1
- user_rabbitmq_controller__kubernetes_cluster__spec__cluster__Cluster__lemma...       0     0     0     0
- user_rabbitmq_controller__kubernetes_cluster__spec__cluster__Cluster__lemma...       0     0     0     0
- user_rabbitmq_controller__kubernetes_cluster__spec__cluster__Cluster__lemma...       0     0     0     0
mariposa_qid_74                                                                       24     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleR...        24     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__2.s...        24     2     2     2
internal_rabbitmq_controller!reconciler.spec.resource_builder.ResourceBuild...        24     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__common__Kind_ha...        24     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.impl&__2.s...        24     0     0     0
mariposa_qid_171                                                                      24     1     1     1
internal_rabbitmq_controller__kubernetes_cluster__spec__builtin_controllers...        24     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__container__EnvV...        24     0     0     0
mariposa_qid_73                                                                       24     1     1     1
mariposa_qid_168                                                                      24     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        24     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...        24     3     3     3
internal_rabbitmq_controller__kubernetes_cluster__spec__builtin_controllers...        24     0     0     0
mariposa_qid_70                                                                       24     0     0     0
mariposa_qid_158                                                                      23     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...        23     0     0     0
mariposa_qid_150                                                                      23     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.builtin_controllers.ty...        23     0     1     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role.RoleView./Rol...        23     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.service_acc...        23     2     1     1
internal_rabbitmq_controller!rabbitmq_controller.model.resource.service_acc...        23     0     0     0
internal_vstd!map.impl&__0.empty.?_pre_post_definition                                23     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__role_binding__R...        22     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...        22     0     0     0
internal_rabbitmq_controller!reconciler.spec.io.RequestView./KRequest/0_acc...        22     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.service_account.Se...        22     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...        22     0     0     0
internal_rabbitmq_controller!reconciler.spec.io.RequestView./ExternalReques...        22     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.default_use...        22     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.built...        22     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.contr...        22     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.role.make_r...        22     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.contr...        22     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.default_use...        22     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.role.make_r...        22     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...        22     3     3     3
internal_rabbitmq_controller!reconciler.spec.reconciler.Reconciler.reconcil...        22     2     2     3
mariposa_qid_65                                                                       22     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...        22     0     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.contr...        22     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.built...        22     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.contr...        22     2     2     2
internal_rabbitmq_controller!reconciler.spec.reconciler.Reconciler.reconcil...        22     3     2     4
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Contr...        22     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...        22     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.form_...        21     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.service.mak...        21     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.service.mak...        21     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.default_use...        21     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.form_...        21     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleB...        21     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.builtin_controllers.ty...        21     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.APIRequ...        21     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...        21     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.default_use...        21     1     1     1
internal_rabbitmq_controller!rabbitmq_controller.model.resource.erlang_cook...        21     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleB...        21     3     3     3
user_vstd__set__axiom_set_insert_same_67                                              21     3     3     3
internal_rabbitmq_controller!rabbitmq_controller.model.resource.erlang_cook...        21     2     2     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.stateful_se...        21     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.RestIdAllocato...        21     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...        21     2     1     3
internal_rabbitmq_controller!rabbitmq_controller.model.reconciler.reconcile...        21     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.erlang_cook...        20     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.delet...        20     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.builtin_controllers.ty...        20     0     0     0
mariposa_qid_116                                                                      20
- [root]                                                                              20     0     0     0
- user_rabbitmq_controller__kubernetes_cluster__spec__cluster__Cluster__run_g...       0     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.service.mak...        20     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.role.RoleView./Rol...        20     0     0     0
mariposa_qid_117                                                                      20     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...        20     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service_account.Se...        20     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.builtin_controllers.ty...        20     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.service.mak...        20     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.delet...        20     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.updat...        20     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.state_machi...        20     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.updat...        20     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.erlang_cook...        20     0     0     0
user_rabbitmq_controller__rabbitmq_controller__proof__liveness__resource_ma...        20     2     2     2
internal_rabbitmq_controller!kubernetes_cluster.spec.external_api.state_mac...        19     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        19     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        19     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        19     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.external_api.state_mac...        19     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.role_binding.RoleB...        19     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.form_...        19     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__5.form_...        19     0     0     0
internal_rabbitmq_controller!temporal_logic.defs.TempPred./TempPred/pred_in...        19     0     0     0
mariposa_qid_204                                                                      19     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.external_api.state_mac...        19     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        19     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.external_api.state_mac...        19     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__7...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__0...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod.PodSpecView./P...        18     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__5...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__5...        18     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod.PodSpecView./P...        18     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        18     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.types.ApiSe...        18     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.types.ApiSe...        18     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__0...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__5...        18     0     0     0
mariposa_qid_67                                                                       18     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__6...        18     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster_state_machine....        18     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        18     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.role_bindin...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__5...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__1...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__7...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod.PodSpecView./P...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__0...        18     0     0     0
mariposa_qid_176                                                                      18     1     2     1
internal_rabbitmq_controller!rabbitmq_controller.model.resource.role_bindin...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__5...        18     0     0     0
internal_rabbitmq_controller!reconciler.spec.io.RequestView./ExternalReques...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__0...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__3...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod.PodSpecView./P...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod.PodSpecView./P...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__5...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__2...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__0...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__5...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__1...        18     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__1...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__2...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod.impl&__2.defau...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.pod_template_spec....        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__0...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__1...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__5...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__5...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__2...        18     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__0...        18     0     0     0
