base name:
rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__object_in_response_at_after_create_resource_step_is_same_as_etcd_helper.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__object_in_response_at_after_create_resource_step_is_same_as_etcd_helper.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__object_in_response_at_after_create_resource_step_is_same_as_etcd_helper.smt2/traces/reseed.11603271854969608656

10122 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::helper_invariants::proof::object_in_response_at_after_create_resource_step_is_same_as_etcd_helper
controller_examples/rabbitmq_controller/proof/helper_invariants/proof.rs:300

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__4.is_cr...       355     1     1     1     1
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       354     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__cluster_state_machi...       347     0     0     0     0
internal_rabbitmq_controller__kubernetes_cluster__spec__builtin_controllers...       331     0     0     0     0
internal_vstd__map__Map<rabbitmq_controller!kubernetes_api_objects.spec.com...       330     2     2     2     2
internal_vstd__map__Map<rabbitmq_controller!kubernetes_api_objects.spec.com...       330     7     7     7     7
internal_rabbitmq_controller__kubernetes_cluster__spec__client__types__Step...       327     1     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       325     1     1     1     1
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...       325     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.Object...       325     1     1     1     1
internal_vstd!seq.Seq.len.?_pre_post_definition                                      321     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.network.types.NetworkS...       321     1     1     1     1
internal_rabbitmq_controller__kubernetes_cluster__spec__message__HostId_box...       320     8     8     8     8
mariposa_qid_193                                                                     314
- [root]                                                                               2     1     1     1     1
