base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.3.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.3.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.3.smt2/traces/shuffle.12322797778560412979

10069 unsat

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_resource_state_matches_at_after_create_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:599

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       551     4     3     3     5
mariposa_qid_143                                                                     541     6     6     6     6
internal_zookeeper_controller!state_machine.action.ActionResult./Disabled_c...       530     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...       511     5     5     5     4
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       506     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       501     2     3     2     2
internal_vstd!multiset.impl&__0.contains.?_definition                                498     3     3     3     3
internal_zookeeper_controller!reconciler.spec.resource_builder.ResourceBuil...       495     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       480     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       477     7     7     6     8
user_vstd__set__axiom_set_remove_different_72                                        476     3     3     3     3
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       470     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__builtin_controller...       456     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.cluster.Cluster./Clus...       452     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       448     2     1     2     2
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       448     1     0     1     2
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...       447     1     0     0     1
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       444     0     0     1     1
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       442     2     2     2     2
internal_vstd!set.impl&__0.insert.?_pre_post_definition                              440     0     0     0     0
internal_zookeeper_controller!state_machine.action.impl&__0.forward.?_defin...       438    12    13    14    13
internal_zookeeper_controller!state_machine.action.impl&__0.forward.?_pre_p...       438     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       437     0     0     0     0
mariposa_qid_187                                                                     431    13    14    15    14
internal_zookeeper_controller__kubernetes_cluster__spec__message__RestIdAll...       428     0     0     0     0
mariposa_qid_269                                                                     425    11    11    11    11
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       422     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       422     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.api_method.GetReq...       420     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       418     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.controller.types.Cont...       417     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_unbo...       416     0     0     0     0
internal_vstd!multiset.impl&__0.remove.?_definition                                  416     4     4     4     5
internal_vstd!multiset.impl&__0.remove.?_pre_post_definition                         416     3     2     3     4
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageOps./M...       410     6     6     6     6
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       409     3     3     3     3
internal_vstd!multiset.impl&__0.sub.?_pre_post_definition                            408     1     2     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...       406     4     3     3     3
internal_zookeeper_controller__kubernetes_cluster__spec__api_server__types_...       399     1     2     2     2
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       398     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.impl&__1.implies.?_defini...       393     1     1     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.message.RestIdAllocat...       392     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__AP...       387     2     3     3     3
internal_zookeeper_controller!temporal_logic.defs.impl&__1.implies.?_pre_po...       384     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       376     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__Ge...       373     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       372     0     0     0     0
internal_zookeeper_controller!state_machine.state_machine.impl&__1.next_res...       366     0     0     0     0
internal_zookeeper_controller!state_machine.state_machine.impl&__1.next_res...       366     7     7     7     7
internal_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster_b...       363    10    10    11    11
mariposa_qid_74                                                                      362     5     4     4     8
internal_zookeeper_controller!temporal_logic.defs.valid.?_definition                 361
- [root]                                                                             361     2     2     2     2
- user_zookeeper_controller__temporal_logic__defs__valid_126                           0     0     0     0     0
user_vstd__map__axiom_map_insert_different_7                                         357     4     3     4     4
internal_zookeeper_controller__kubernetes_cluster__spec__api_server__types_...       356     3     3     3     3
mariposa_qid_138                                                                     355     2     2     2     4
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       355     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Kind_b...       352    17    16    16    16
internal_vstd__map__Map<zookeeper_controller!kubernetes_api_objects.spec.co...       351     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...       351     7     7     6     6
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.impl&...       350     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__api_server__types_...       350     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.impl&...       350     0     0     0     0
mariposa_qid_189                                                                     347
- [root]                                                                             212     2     1     2     2
- mariposa_qid_188                                                                     0     0     0     0     0
- user_zookeeper_controller__state_machine__state_machine__StateMachine__next...     135     2     1     2     2
mariposa_qid_142                                                                     347     6     6     6     6
internal_vstd__map__Map<zookeeper_controller!kubernetes_api_objects.spec.co...       347     3     3     3     4
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...       338     3     3     5     4
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       336     1     2     2     1
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       336     3     4     4     5
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageOps./M...       334     8     9     8     8
user_vstd__seq_lib__impl&%0__filter_lemma_broadcast_63                               332
- [root]                                                                             332     1     0     0     0
- user_vstd__seq_lib__impl&%0__filter_lemma_broadcast_62                               0     0     0     0     0
- user_vstd__seq_lib__impl&%0__filter_lemma_broadcast_61                               0     0     0     0     0
internal_vstd!seq_lib.impl&__0.filter.?_pre_post_definition                          332     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.network.types.Network...       331     2     2     2     2
mariposa_qid_111                                                                     329     3     3     3     2
internal_zookeeper_controller!kubernetes_cluster.spec.external_api.types.Ex...       326     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.controller.types.Ongo...       318     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.api_method.GetReq...       316     2     0     0     1
internal_zookeeper_controller!kubernetes_cluster.spec.controller.types.Ongo...       315     0     1     0     1
internal_vstd!set.impl&__0.remove.?_pre_post_definition                              315     0     0     0     0
user_vstd__set__axiom_set_remove_insert_71                                           315     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.impl&__0....       311     9     8     8     8
internal_zookeeper_controller!kubernetes_cluster.spec.controller.types.Cont...       311     2     2     2     2
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.impl&__0....       311     5     3     4     3
internal_zookeeper_controller__kubernetes_cluster__spec__message__RestIdAll...       309     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__external_api__type...       307     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster_u...       299     5     5     5     5
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__Ge...       298     7     7     7     7
mariposa_qid_157                                                                     294     2     2     2     2
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__4.get_...       291     1     1     1     1
internal_vstd__map__Map<zookeeper_controller!kubernetes_api_objects.spec.co...       291     9     9     9    12
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__4.get_...       289     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       286     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.always.?_definition                281     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.types.ApiS...       278     5     6     7     7
internal_zookeeper_controller__reconciler__spec__io__RequestView_box_axiom_...       275     1     1     1     1
internal_zookeeper_controller!reconciler.spec.resource_builder.ResourceBuil...       275     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       274     0     0     0     0
prelude_nat_clip                                                                     272     9     8     8     8
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       271     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       271     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       271     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       270     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       270     0     0     0     0
mariposa_qid_112                                                                     267     2     2     2     2
internal_zookeeper_controller!kubernetes_cluster.spec.builtin_controllers.t...       266     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       264    11    10    11    10
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       262     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__resource__Empt...       258     0     1     1     0
internal_zookeeper_controller!temporal_logic.defs.always.?_pre_post_definit...       257     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.types.ApiS...       256     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       256     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       251     1     0     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.cluster.Cluster./Clus...       243     2     2     2     2
mariposa_qid_89                                                                      243     3     4     3     4
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__AP...       241     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.proof.cluster_safety.impl&...       240     2     0     1     0
internal_zookeeper_controller!kubernetes_cluster.proof.cluster_safety.impl&...       240     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.types.ApiS...       235     1     0     1     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__5.form...       234     2     3     3     1
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__5.form...       234     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       234     6     3     3     6
internal_zookeeper_controller!kubernetes_cluster.spec.cluster.Cluster./Clus...       232     2     2     2     2
mariposa_qid_222                                                                     230     2     0     1     0
mariposa_qid_191                                                                     230     4     4     6     4
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       229     1     0     0     1
internal_zookeeper_controller!zookeeper_controller.model.resource.common.ma...       228     4     3     3     4
internal_zookeeper_controller!zookeeper_controller.model.resource.common.ma...       228     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       227     0     0     0     0
mariposa_qid_73                                                                      227     3     3     3     3
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.impl&...       225     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.proof.cluster_safety.impl&...       225     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__zookeeper_api...       224     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__step__Zookeep...       224     2     2     2     2
mariposa_qid_281                                                                     223     4     5     5     5
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__AP...       221     4     4     4     3
internal_zookeeper_controller__kubernetes_cluster__spec__builtin_controller...       221     0     0     0     0
prelude_as_type                                                                      220     5     4     5     5
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       217     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__cluster_state_mach...       217     2     2     2     2
internal_zookeeper_controller!reconciler.spec.io.RequestView./ExternalReque...       209     1     1     1     1
internal_zookeeper_controller!reconciler.spec.io.RequestView./KRequest/0_in...       209     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.container.ProbeVi...       206     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__container__Pro...       206     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       206     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__builtin_controller...       205     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__builtin_controller...       205     0     0     0     0
mariposa_qid_173                                                                     204
- [root]                                                                              62     4     4     4     4
- user_zookeeper_controller__zookeeper_controller__proof__helper_invariants__...     142     6     6     6     6
internal_zookeeper_controller__reconciler__spec__io__RequestView_unbox_axio...       202     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.received_msg_...       201     2     3     4     3
