base name:
fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.2.smt2

query path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.2.smt2/orig.smt2

trace path:
dbg/fluent-log-fluent_controller__fluentbit_config__proof__liveness__resource_match.2.smt2/traces/rename.3068370539320359280

8504 unsat

verus procedure:
Function-Def fluent_controller::fluent_controller::fluentbit_config::proof::liveness::resource_match::lemma_resource_state_matches_at_after_create_resource_step
controller_examples/fluent_controller/fluentbit_config/proof/liveness/resource_match.rs:383

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_fluent_controller!state_machine.action.impl&__0.forward.?_definiti...       777    14    13    13    13
internal_fluent_controller!state_machine.action.impl&__0.forward.?_pre_post...       777     1     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__common__ObjectRef...       765     9     9     9     9
internal_vstd!multiset.impl&__0.contains.?_definition                                759     2     2     2     2
mariposa_qid_86                                                                      752    14    14    14    14
internal_vstd__map__Map<fluent_controller!kubernetes_api_objects.spec.commo...       745     2     2     2     2
prelude_add                                                                          741     9     9     9     9
internal_fluent_controller__kubernetes_api_objects__error__APIError_box_axi...       737     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__error__APIError_has_typ...       730     0     0     0     0
mariposa_qid_185                                                                     729
- [root]                                                                              40     1     1     1     1
- user_fluent_controller__kubernetes_cluster__spec__cluster__Cluster__each_ob...     689     1     1     1     1
internal_fluent_controller__state_machine__action__ActionResult_unbox_axiom...       716     0     0     0     0
internal_vstd!set.impl&__0.insert.?_pre_post_definition                              712     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__cluster__Cluster_box_...       697    10    10    10    10
internal_vstd!map.impl&__0.dom.?_pre_post_definition                                 684     3     3     3     3
internal_fluent_controller__kubernetes_api_objects__spec__common__Kind_box_...       668    12    12    13    12
internal_fluent_controller!kubernetes_cluster.spec.controller.types.Ongoing...       660     3     2     2     2
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       648     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.api_server.state_machine...       648     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.cluster.Cluster./Cluster...       600     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__api_server__types__Ap...       590     2     2     0     2
mariposa_qid_121                                                                     590     9     8     7     7
internal_vstd!multiset.impl&__0.add.?_pre_post_definition                            590     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.impl&__0.obj...       587     6     6     7     6
internal_fluent_controller!kubernetes_api_objects.spec.dynamic.impl&__0.obj...       587     3     3     4     3
internal_fluent_controller!kubernetes_cluster.spec.message.MessageContent./...       579     0     0     0     0
mariposa_qid_209                                                                     578    12    14    18    16
mariposa_qid_195                                                                     560
- [root]                                                                              40     2     2     2     2
- user_fluent_controller__fluent_controller__fluentbit_config__proof__helper_...     520     3     3     3     3
internal_fluent_controller!state_machine.state_machine.impl&__1.next_result...       554     7     8     7     8
internal_fluent_controller!state_machine.state_machine.impl&__1.next_result...       554     0     0     0     0
internal_fluent_controller__kubernetes_api_objects__spec__api_method__Creat...       550     3     3     3     3
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       538     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       537     0     0     0     0
internal_fluent_controller!kubernetes_cluster.proof.cluster_safety.impl&__0...       526     1     1     1     1
internal_fluent_controller!kubernetes_cluster.proof.cluster_safety.impl&__0...       526     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__network__types__Netwo...       522     0     0     0     0
mariposa_qid_184                                                                     517     1     1     1     1
internal_fluent_controller!kubernetes_cluster.proof.cluster_safety.impl&__0...       515     0     0     0     0
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.impl&__0...       515     0     0     0     0
user_vstd__set__axiom_set_insert_different_69                                        507     5     5     5     5
internal_fluent_controller__kubernetes_api_objects__error__APIError_unbox_a...       502     0     0     0     0
internal_fluent_controller__kubernetes_cluster__spec__message__RestIdAlloca...       498     1     1     1     1
internal_fluent_controller__kubernetes_cluster__spec__api_server__types__Ap...       480     3     3     3     3
mariposa_qid_124                                                                     472     7     7     7     7
internal_fluent_controller!kubernetes_api_objects.spec.object_meta.ObjectMe...       469     0     0     0     0
internal_fluent_controller!kubernetes_cluster.spec.network.types.NetworkSta...       456     0     0     0     0
prelude_fuel_defaults                                                                454   121   125   127   123
internal_fluent_controller__fluent_controller__fluentbit_config__trusted__s...       440     1     0     1     0
internal_vstd__map__Map<fluent_controller!kubernetes_api_objects.spec.commo...       422     4     3     3     3
internal_fluent_controller!kubernetes_cluster.spec.message.MessageContent./...       416     0     0     0     0
internal_fluent_controller__fluent_controller__fluentbit_config__trusted__s...       415     0     0     1     0
internal_fluent_controller__kubernetes_api_objects__spec__dynamic__DynamicO...       409    13    12    14    13
internal_vstd!map.impl&__0.insert.?_pre_post_definition                              406     6     5     5     5
internal_fluent_controller__kubernetes_cluster__spec__builtin_controllers__...       392     0     0     0     0
internal_fluent_controller!state_machine.action.ActionResult./Enabled/1_acc...       389     7     7     7     7
