base name:
zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.3.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.3.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__stateful_set_match.3.smt2/traces/reseed.4879072961540107419

10214 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::stateful_set_match::lemma_stateful_set_state_matches_at_after_update_stateful_set_step
controller_examples/zookeeper_controller/proof/liveness/stateful_set_match.rs:387

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
- internal_crate__fun__1_constructor_inner_definition                                  0     0     0     0     0
internal_crate__fun__1_unbox_axiom_definition                                        703     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__dynamic__Dynam...       670    25    24    25    22
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       666     8     5     8     5
internal_vstd!seq.Seq.len.?_pre_post_definition                                      660     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       650     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       649     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       649     1     1     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Object...       640    11    11    11    11
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                          630    10    10    10    10
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...       620    16    15    16    16
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_b...       619     5     6     5     5
internal_tuple__2./tuple__2/1_invariant_definition                                   617     6     7     6     6
user_vstd__set__axiom_set_insert_different_69                                        603     6     6     6     6
prelude_fuel_defaults                                                                598   146   144   146   144
internal_zookeeper_controller__kubernetes_api_objects__spec__stateful_set__...       595     1     0     1     2
internal_zookeeper_controller!state_machine.action.Action./Action_construct...       594     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       585     1     1     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       585     1     1     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       585     0     0     0     0
internal_vstd!map.impl&__0.insert.?_pre_post_definition                              561     5     5     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       550     7     8     7     8
internal_zookeeper_controller!kubernetes_cluster.proof.cluster_safety.impl&...       549     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.proof.cluster_safety.impl&...       549     2     3     2     2
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...       537     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       536     7     8     7     7
internal_zookeeper_controller__state_machine__action__Action_unbox_axiom_de...       526     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_pre_post_d...       522     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_definition          522    31    31    31    31
internal_zookeeper_controller!state_machine.action.Action./Action/transitio...       518    17    17    17    17
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       518     2     2     2     2
internal_zookeeper_controller!state_machine.action.Action./Action/precondit...       510     1     1     1     2
internal_zookeeper_controller__temporal_logic__defs__TempPred_box_axiom_def...       504    48    48    48    48
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       504     0     0     0     0
internal_core!option.Option./None_constructor_definition                             503     2     2     2     2
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/0_...       494    11    11    11    10
internal_zookeeper_controller__kubernetes_cluster__spec__network__types__Ne...       493    11    12    11    11
internal_vstd__set__Set<zookeeper_controller!kubernetes_api_objects.spec.co...       492     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.TempPred./TempPred_constr...       490     0     0     0     0
internal_zookeeper_controller__temporal_logic__defs__TempPred_unbox_axiom_d...       490     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       481     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       472     1     0     1     1
internal_zookeeper_controller__kubernetes_api_objects__spec__label_selector...       464     9     9     9    11
internal_vstd!set.impl&__0.insert.?_pre_post_definition                              463     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       462     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       458     0     0     0     0
internal_vstd!map.impl&__0.index.?_pre_post_definition                               458    13    12    13    14
prelude_add                                                                          457     8     9     8     8
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/1_...       455     4     4     4     4
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled_co...       449     0     0     0     0
user_vstd__seq__axiom_seq_push_len_41                                                440     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...       437     2     2     2     2
internal_zookeeper_controller__kubernetes_api_objects__spec__common__Kind_b...       436    14    14    14    14
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.impl&__0....       433     3     4     3     3
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.impl&__0....       433     8     8     8     7
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       429    11    11    11    13
mariposa_qid_224                                                                     419     2     3     2     2
internal_zookeeper_controller__kubernetes_cluster__spec__api_server__types_...       416     2     2     2     2
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       415     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       408     7     7     7    11
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       408     8     9     8     9
internal_zookeeper_controller__kubernetes_cluster__spec__message__Message_u...       398     4     4     4     4
internal_vstd!map.impl&__0.dom.?_pre_post_definition                                 397     3     3     3     3
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       396     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.proof.cluster_safety.impl&...       394     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.impl&...       394     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       391     7     9     7     6
user_vstd__map__axiom_map_insert_different_7                                         387     7     9     7     8
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__Up...       385     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       382     0     1     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__stateful_set__...       382     2     2     2     1
user_vstd__multiset__axiom_multiset_singleton_different_20                           381     3     4     3     3
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       381     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       377     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       376     1     0     1     2
internal_zookeeper_controller!kubernetes_api_objects.spec.stateful_set.Stat...       371     2     2     2     2
