base name:
mimalloc--segment__segment_span_free_coalesce_before.smt2

query path:
dbg/mimalloc--segment__segment_span_free_coalesce_before.smt2/orig.smt2

trace path:
dbg/mimalloc--segment__segment_span_free_coalesce_before.smt2/traces/rename.1772822839713140177

10136 unknown

verus procedure:
Function-Def lib::segment::segment_span_free_coalesce_before
verus-mimalloc/segment.rs:2140

traced instantiations:
QID                                                                                  T    P0    P1    P2    P3
internal_tuple__3./tuple__3/2_invariant_definition                                 962     0     0     0     0
internal_lib__atomic_ghost_modified__Cancellable__Instance_has_type_always_...     962     0     0     0     0
internal_lib__tokens__Mim__Instance_unbox_axiom_definition                         962     1     1     1     1
internal_tuple__3./tuple__3/1_invariant_definition                                 962     0     0     0     0
internal_crate__tuple__3_unbox_axiom_definition                                    962     0     0     0     0
internal_lib!page_organization.PageOrg.impl&__4.inv_very_unready.?_definiti...     957
- [root]                                                                            35     2     2     2     2
- user_lib__page_organization__PageOrg__State__inv_very_unready_146                922    12     9    11    12
internal_lib__page_organization__PageData_box_axiom_definition                     945     7     7     8     7
internal_lib!page_organization.is_used_header.?_definition                         902     3     4     1     3
internal_lib!tokens.PageId./PageId/idx_invariant_definition                        898     9    10     9     9
internal_vstd!ptr.PointsToData./PointsToData_constructor_definition                891     0     0     0     0
internal_lib!tokens.PageId./PageId/segment_id_invariant_definition                 883     0     0     0     0
internal_vstd__ptr__PointsToData_unbox_axiom_definition                            878     0     0     0     0
internal_vstd!ptr.PointsToData./PointsToData/value_invariant_definition            877     6     6     7     6
prelude_mul                                                                        874     1     2     2     1
prelude_mul_nats                                                                   874     0     0     0     0
internal_lib__tokens__PageId_box_axiom_definition                                  871    16    16    17    16
internal_lib!page_organization.PageOrg.impl&__4.page_id_domain.?_definition        845
- [root]                                                                            35     2     2     2     2
- user_lib__page_organization__PageOrg__State__page_id_domain_138                  810    17    17    17    17
internal_lib!page_organization.PageOrg.impl&__4.public_invariant.?_definiti...     845
- [root]                                                                            35     2     2     2     2
- user_lib__page_organization__PageOrg__State__public_invariant_137                810    10    10    10    10
internal_lib!page_organization.PageOrg.impl&__4.data_for_used_header.?_defi...     845
- [root]                                                                            35     2     2     1     2
- user_lib__page_organization__PageOrg__State__data_for_used_header_144            810     2     3     1     2
internal_lib!page_organization.PageOrg.impl&__4.end_is_unused.?_definition         845
- [root]                                                                            35     1     1     1     1
- user_lib__page_organization__PageOrg__State__end_is_unused_140                   810     1     1     1     1
internal_lib!page_organization.PageOrg.impl&__4.count_off0.?_definition            845
- [root]                                                                            35     2     2     2     2
- user_lib__page_organization__PageOrg__State__count_off0_139                      810     8     8     7     7
internal_lib!page_organization.PageOrg.impl&__4.data_for_unused_header.?_de...     845
