base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.6.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.6.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.6.smt2/traces/reseed.11509608877003423912

10137 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_update_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:863

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       512     0     0     0     0
internal_zookeeper_controller__state_machine__action__ActionResult_unbox_ax...       509     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       491     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       491     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       491     0     0     0     0
internal_vstd__map__Map<zookeeper_controller!kubernetes_api_objects.spec.co...       489     0     0     0     0
internal_vstd__set__Set<zookeeper_controller!kubernetes_api_objects.spec.co...       468     0     0     0     0
mariposa_qid_220                                                                     458
- [root]                                                                              38     2     2     2     2
- user_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster__ever...     277     2     2     3     3
- user_zookeeper_controller__kubernetes_cluster__spec__cluster__Cluster__ever...     143     3     2     3     3
internal_zookeeper_controller__state_machine__action__Action_unbox_axiom_de...       457     0     0     0     2
internal_zookeeper_controller!kubernetes_cluster.proof.cluster_safety.impl&...       455     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.proof.cluster_safety.impl&...       455     2     2     2     1
mariposa_qid_222                                                                     453     2     2     2     1
internal_vstd__set__Set<zookeeper_controller!kubernetes_api_objects.spec.co...       450     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.proof.cluster_safety.impl&...       448     1     1     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.impl&...       448     1     1     1     1
mariposa_qid_115                                                                     446     7     8    10     5
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.impl&__0....       443     5     5     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.impl&__0....       443     3     3     3     2
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/0_...       432     1     1     2     1
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...       420     0     0     0     0
user_vstd__multiset__axiom_multiset_singleton_different_20                           404     6     4     4     4
internal_zookeeper_controller__kubernetes_cluster__spec__message__RestIdAll...       403     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__AP...       392     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       390     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       388     0     0     0     0
internal_vstd!map.impl&__0.insert.?_pre_post_definition                              386     4     4     4     4
internal_zookeeper_controller__reconciler__spec__io__RequestView_box_axiom_...       386     7     6     6     7
internal_zookeeper_controller!kubernetes_cluster.spec.controller.types.Cont...       383     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.Message./Mess...       383     3     3     3     3
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_has_...       379     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.api_method.GetReq...       370     0     0     0     0
internal_vstd!map.impl&__0.dom.?_pre_post_definition                                 362     2     2     2     2
internal_vstd!string.impl&__0.view.?_pre_post_definition                             360     0     5     5     0
internal_zookeeper_controller__kubernetes_cluster__spec__network__types__Ne...       358    12    12    12    13
prelude_unbox_box_strslice                                                           357     0     5     5     0
prelude_strlit_injective                                                             356     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       351     0     0     0     0
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled_co...       346     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.client.types.ClientAc...       345     1     1     1     1
internal_zookeeper_controller!kubernetes_cluster.spec.message.RestIdAllocat...       344     0     0     0     0
internal_zookeeper_controller!reconciler.spec.resource_builder.ResourceBuil...       342     1     0     1     1
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       333     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       331     0     1     1     1
internal_zookeeper_controller!state_machine.action.impl&__0.forward.?_defin...       320    14    13    13    13
internal_zookeeper_controller!state_machine.action.impl&__0.forward.?_pre_p...       320     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       318     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       318     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__Ge...       318     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       318     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       318     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       318     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_box_...       316     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...       316    11     9    10     9
mariposa_qid_74                                                                      315     3     2     2     2
internal_zookeeper_controller!kubernetes_cluster.spec.cluster.Cluster./Clus...       312     4     4     5     4
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       308     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       307     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__builtin_controller...       306     1     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__message__RestIdAll...       306     2     2     2     2
internal_zookeeper_controller__kubernetes_cluster__spec__message__MessageCo...       301     8     8    10     6
internal_zookeeper_controller!kubernetes_cluster.spec.controller.types.Cont...       299     5     4     5     5
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       297     0     0     0     0
internal_vstd!seq.Seq.len.?_pre_post_definition                                      295     0     0     0     0
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/0_...       292    10     9    11    10
internal_zookeeper_controller__kubernetes_api_objects__spec__api_method__Ge...       291     9     9     9     9
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       290     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       290     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       290     1     1     2     2
mariposa_qid_266                                                                     288    16    17    17    17
mariposa_qid_187                                                                     287    14    13    13    13
internal_zookeeper_controller!kubernetes_cluster.spec.network.types.Network...       284     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.cluster.Cluster./Clus...       281     0     0     0     0
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       273     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       273     1     1     1     1
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       272    15    10    15    13
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       264     0     0     0     0
internal_vstd!multiset.impl&__0.singleton.?_pre_post_definition                      258     6     4     5     5
user_vstd__multiset__axiom_multiset_singleton_19                                     258     2     2     2     2
internal_zookeeper_controller!kubernetes_cluster.spec.external_api.types.Ex...       256     0     1     1     1
internal_zookeeper_controller!reconciler.spec.io.RequestView./ExternalReque...       254     2     2     2     2
internal_zookeeper_controller!reconciler.spec.io.RequestView./KRequest/0_in...       254     2     2     2     2
internal_zookeeper_controller__kubernetes_cluster__spec__network__types__Ne...       249     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       248     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       248     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__4.get_...       247     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.message.impl&__4.get_...       247     2     2     4     2
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       244     0     0     0     0
internal_zookeeper_controller__kubernetes_cluster__spec__api_server__types_...       243    14    14    15    14
internal_vstd!multiset.impl&__0.contains.?_definition                                243     6     6     6     7
internal_vstd!map.impl&__0.index.?_pre_post_definition                               241    11    10    11    11
internal_zookeeper_controller!kubernetes_api_objects.spec.config_map.Config...       236     0     0     0     0
