base name:
rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__helper_invariants__proof__lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step.smt2/traces/reseed.13968666206025494122

10127 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::helper_invariants::proof::lemma_eventually_always_every_resource_create_request_implies_at_after_create_resource_step
controller_examples/rabbitmq_controller/proof/helper_invariants/proof.rs:870

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       278     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       278     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       278     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       278     0     0     0     0
internal_rabbitmq_controller!temporal_logic.defs.impl&__1.new.?_definition           278    20    20    20    20
internal_rabbitmq_controller__temporal_logic__defs__TempPred_box_axiom_defi...       276    30    35    35    35
mariposa_qid_72                                                                      271     4     3     3     3
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....       271     2     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       271     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...       271     0     3     3     3
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....       271     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.ser...       270     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       269     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       268     2     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       268     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       266     0     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...       264     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       264     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.secret.SecretView....       264     0     0     0     0
internal_rabbitmq_controller!temporal_logic.defs.TempPred./TempPred_constru...       262     0     0     0     0
internal_rabbitmq_controller__temporal_logic__defs__TempPred_unbox_axiom_de...       262     2     1     1     1
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...       253     7     3     3     3
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       244     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       244     0     0     0     0
mariposa_qid_76                                                                      244     2     1     1     1
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       244     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       244     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       244     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       244     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       244     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       244     0     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__secret__SecretV...       243     1     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.secret.SecretView....       243     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       242     6     6     6     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       242     6     6     6     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       242     6     6     6     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       242     6     6     6     6
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__ObjectF...       241     0     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...       240     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...       240     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...       240     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...       240     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       240     6     6     6     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.ProbeVie...       240     0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.Containe...       240     6     6     6     6
