base name:
zookeeper-log-zookeeper_controller__proof__liveness__resource_match.7.smt2

query path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.7.smt2/orig.smt2

trace path:
dbg/zookeeper-log-zookeeper_controller__proof__liveness__resource_match.7.smt2/traces/rename.12500295248286012155

10201 unknown

verus procedure:
Function-Def zookeeper_controller::zookeeper_controller::proof::liveness::resource_match::lemma_resource_state_matches_at_after_update_resource_step
controller_examples/zookeeper_controller/proof/liveness/resource_match.rs:768

traced instantiations:
QID                                                                                    T    P0    P1    P2    P3
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       736    14    16    17    12
internal_vstd__set__Set<zookeeper_controller!kubernetes_api_objects.spec.co...       726     0     0     0     0
internal_tuple__2./tuple__2/1_accessor_definition                                    722    20    19    15    18
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       708     1     1     1     1
internal_crate__fun__1_constructor_definition                                        690
- [root]                                                                             690     1     1     1     2
- internal_crate__fun__1_constructor_inner_definition                                  0     0     0     0     0
internal_crate__fun__1_unbox_axiom_definition                                        688     0     0     0     0
internal_zookeeper_controller!zookeeper_controller.trusted.spec_types.Zooke...       685     0     0     0     0
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       685     0     0     0     0
internal_zookeeper_controller!state_machine.action.ActionResult./Enabled/1_...       683     4     4     6     5
internal_tuple__2./tuple__2/1_invariant_definition                                   682     8     7     5     6
internal_zookeeper_controller!kubernetes_api_objects.spec.dynamic.DynamicOb...       670    24    26    25    23
internal_vstd__set__Set<zookeeper_controller!kubernetes_api_objects.spec.co...       647     0     0     0     0
internal_zookeeper_controller__state_machine__action__ActionResult_box_axio...       646    22    20    24    22
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       646     0     0     0     0
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_definition          638    32    32    32    32
internal_zookeeper_controller!temporal_logic.defs.impl&__1.new.?_pre_post_d...       638     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       635    14    12    17    13
internal_zookeeper_controller__temporal_logic__defs__TempPred_box_axiom_def...       631    47    47    47    47
prelude_fuel_defaults                                                                607   166   164   163   162
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       587    12    13    11    13
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       582     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       578     6     6     4     6
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceSp...       576     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       576     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.service.ServiceVi...       572     0     0     0     0
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       571     1     2     2     2
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       571     1     2     2     2
internal_zookeeper_controller!kubernetes_cluster.spec.api_server.state_mach...       571     0     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__spec__service__Servi...       570     4     5     4     4
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       564     0     0     0     0
internal_zookeeper_controller!kubernetes_api_objects.spec.object_meta.Objec...       560     1     1     1     1
mariposa_qid_74                                                                      551    10    11    10     9
internal_zookeeper_controller!state_machine.action.ActionResult./Disabled_c...       529     0     0     0     0
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       518     6     6     4     2
internal_zookeeper_controller!kubernetes_cluster.spec.controller.types.Ongo...       505     3     2     3     3
internal_zookeeper_controller!kubernetes_api_objects.spec.resource.Resource...       499     1     1     1     1
internal_vstd__seq__Seq<zookeeper_controller!kubernetes_api_objects.spec.ow...       493     0     0     0     0
internal_zookeeper_controller__state_machine__action__Action_box_axiom_defi...       483    26    26    23    24
internal_zookeeper_controller!kubernetes_cluster.spec.message.MessageConten...       478     0     0     0     0
internal_vstd!multiset.impl&__0.count.?_pre_post_definition                          461    11    11    11    11
internal_zookeeper_controller__kubernetes_cluster__spec__controller__types_...       457     1     0     0     0
internal_zookeeper_controller__kubernetes_api_objects__error__APIError_has_...       451     0     0     0     0
internal_zookeeper_controller__zookeeper_controller__trusted__spec_types__Z...       441     0     0     0     0
